image_id,metadata_height,computed_trajectory_height,computed_height_difference,computed_height
1197003347412468,8.6405715145436,24.359,,
1464734177204763,8.5371720160481,25.047,2.174,22.873
170058561705143,8.7956709127382,24.322,,
177246630949005,8.9845381474104,24.952,6.04,18.912
291129559315209,8.6922714142427,24.473,1.87,22.603
3701671393289068,8.5888719157472,24.655,1.933,22.722
468020011157631,9.7901500996016,24.271,,
487967815974661,10.148803669725,23.999,,
509059190130782,9.5887471115538,24.589,2.0,22.589
530796564614344,8.7439713139418,24.3,1.312,22.989
549798756007659,9.1859411354582,24.872,2.283,22.589
595114328129242,9.9777825688073,24.189,,
