image_id,metadata_height,computed_trajectory_height,computed_height_difference,computed_height
1197003347412468,8.6405715145436,8.731,1.0,7.731
1464734177204763,8.5371720160481,8.72,1.0,7.72
170058561705143,8.7956709127382,8.989,1.0,7.989
177246630949005,8.9845381474104,8.92,1.0,7.92
291129559315209,8.6922714142427,8.455,1.0,7.455
3701671393289068,8.5888719157472,8.769,1.0,7.769
468020011157631,9.7901500996016,9.586,1.0,8.586
487967815974661,10.148803669725,10.607,1.0,9.607
509059190130782,9.5887471115538,9.105,1.0,8.105
530796564614344,8.7439713139418,8.684,1.0,7.684
549798756007659,9.1859411354582,8.832,1.0,7.832
595114328129242,9.9777825688073,10.275,1.0,9.275
